wave,date,pt_sex,pt_region,pt_age,pt_age_grp,rp_nb
1,2020-05-02,Male,Mansfeld-Südharz,33,25-34,1
1,2020-05-01,Male,Region Hannover,59,55-64,1
2,2020-05-15,Male,Region Hannover,59,55-64,2
3,2020-05-29,Male,Region Hannover,59,55-64,3
6,2020-07-14,Male,Region Hannover,59,55-64,4
7,2020-07-24,Male,Region Hannover,59,55-64,5
8,2020-08-09,Male,Region Hannover,59,55-64,6
11,2020-10-16,Male,Region Hannover,59,55-64,7
12,2020-11-01,Male,Region Hannover,60,55-64,8
13,2020-11-05,Male,Region Hannover,60,55-64,9
14,2020-11-29,Male,Region Hannover,60,55-64,10
15,2020-12-11,Male,Region Hannover,60,55-64,11
17,2021-01-28,Male,Region Hannover,60,55-64,12
18,2021-02-26,Male,Region Hannover,60,55-64,13
20,2021-04-09,Male,Region Hannover,60,55-64,14
22,2021-05-31,Male,Region Hannover,60,55-64,15
23,2021-06-15,Male,Region Hannover,60,55-64,16
22,2021-06-03,Male,Bautzen,65,65-69,1
23,2021-06-15,Male,Bautzen,65,65-69,2
24,2021-07-10,Male,Bautzen,65,65-69,3
27,2021-09-23,Male,Bautzen,65,65-69,4
28,2021-10-08,Male,Bautzen,65,65-69,5
3,2020-06-03,Female,"Berlin, Stadt",51,45-54,1
4,2020-06-13,Female,"Berlin, Stadt",51,45-54,2
28,2021-10-12,Female,"Berlin, Stadt",53,45-54,3
29,2021-10-26,Female,"Berlin, Stadt",53,45-54,4
30,2021-11-04,Female,"Berlin, Stadt",53,45-54,5
31,2021-11-18,Female,"Berlin, Stadt",53,45-54,6
32,2021-12-14,Female,"Berlin, Stadt",53,45-54,7
33,2021-12-25,Female,"Berlin, Stadt",53,45-54,8
28,2021-10-19,Female,Herford,34,25-34,1
29,2021-10-24,Female,Herford,34,25-34,2
30,2021-11-04,Female,Herford,34,25-34,3
33,2021-12-28,Female,Herford,34,25-34,4
4,2020-06-16,Male,"Bochum, Stadt",67,65-69,1
6,2020-07-13,Male,"Bochum, Stadt",67,65-69,2
7,2020-07-29,Male,"Bochum, Stadt",67,65-69,3
8,2020-08-07,Male,"Bochum, Stadt",68,65-69,4
10,2020-10-02,Male,"Bochum, Stadt",68,65-69,5
11,2020-10-15,Male,"Bochum, Stadt",68,65-69,6
12,2020-10-30,Male,"Bochum, Stadt",68,65-69,7
13,2020-11-07,Male,"Bochum, Stadt",68,65-69,8
14,2020-11-26,Male,"Bochum, Stadt",68,65-69,9
15,2020-12-12,Male,"Bochum, Stadt",68,65-69,10
16,2020-12-23,Male,"Bochum, Stadt",68,65-69,11
17,2021-01-28,Male,"Bochum, Stadt",68,65-69,12
18,2021-03-02,Male,"Bochum, Stadt",68,65-69,13
19,2021-03-21,Male,"Bochum, Stadt",68,65-69,14
20,2021-04-10,Male,"Bochum, Stadt",68,65-69,15
21,2021-05-17,Male,"Bochum, Stadt",68,65-69,16
23,2021-06-22,Male,"Bochum, Stadt",68,65-69,17
24,2021-07-08,Male,"Bochum, Stadt",68,65-69,18
25,2021-08-07,Male,"Bochum, Stadt",69,65-69,19
26,2021-09-02,Male,"Bochum, Stadt",69,65-69,20
27,2021-09-23,Male,"Bochum, Stadt",69,65-69,21
